StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q2.1_1,Q3.1,Q4.1,Q5.1,Q7.1_1,Q7.1_2,Q7.1_3,Q7.2_1,Q7.2_2,Q7.2_3,Q7.3_1,Q7.3_2,Q7.3_3,Q8.2_1,Q8.3,Q8.4_1,Q8.5_1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear participant, Thank you for your interest in participating in this experiment. The expected duration of this experiment is around 15 minutes. 



It is important to know that all data that we collect will be anonymous and confidential, and you will not be identifiable in any report, thesis or publication that arises from this study. If the dataset will be published as part of scientific communications this will be done in an anonymized fashion. We will kindly ask your permission to use your data for research purposes. You are free to decline this request, of course, but you can't finish the experiment.



By checking the checkbox and proceeding to the next page, I confirm that: 

	 I have read and understood the information provided to me for this study 
	I understand that my participation is voluntary and that I am free to withdraw at any time, without giving a reason, without my medical care or legal rights being affected
	I understand that the research data will be archived in a completely anonymous way in an online database and/or data repository and/or published as supplementary material to a scientific article and may be accessed by other researchers as well as the general public
	I understand that the anonymized research data can be used in future projects on similar or different topics to this study and potential results can be published in other scientific publications. At all times, my personal data will be kept anonymized in accordance with data protection guidelines","This experiment consists of 3 rounds. In each round, you will be given a prompt about a situation yo - Participant number","Round 1

Your prompt for this round: You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant. If you need to travel a bit to get there, that's OK.

Now switch to the recommendation system to pick the right restaurant for your family. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","Round 2

Your prompt for this round: You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food.

Now switch to the recommendation system to pick the right restaurant for you and your date. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","Round 3

Your prompt for this round: You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book specific seats in advance.

Now switch to the recommendation system to pick the right restaurant for your upcoming dinner. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - I felt overwhelmed by the recommendation process","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - I felt overwhelmed by the recommendation process","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - I felt overwhelmed by the recommendation process",What is your age in years? - Age,What is your gender?,On a scale from 1 to 5... - completing this experiment in the English language was challenging,On a scale from 1 to 5... - how familiar are you with chatbots and/or Artificial Intelligence (AI) dialogue systems?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}"
2023-10-19 07:02:34,2023-10-19 07:30:10,0,100,1655,1,2023-10-19 07:30:10,R_1MWIswucoZQlytR,anonymous,EN,1,1,30,9,4,4,2,3,3,3,3,2,4,4,1,26,1,2,3
2023-10-19 10:09:34,2023-10-19 10:37:59,0,100,1705,1,2023-10-19 10:38:00,R_1QAdrUvNWZxasLA,anonymous,EN,0.8999999761581421,1,7,9,4,4,4,4,2,5,5,5,1,4,1,21,2,5,4
2023-10-19 12:30:06,2023-10-19 12:45:34,0,100,928,1,2023-10-19 12:45:35,R_3PGpheltpXCxg5X,anonymous,EN,1,1,8,9,4,4,4,5,2,5,5,1,5,4,1,23,2,4,3
2023-10-19 12:58:51,2023-10-19 13:42:53,0,100,2641,1,2023-10-19 13:42:54,R_3p8PxLqxfNDKJZ9,anonymous,EN,1,1,8,9,4,4,4,5,1,4,4,1,4,4,1,22,2,5,2
2023-10-20 03:27:39,2023-10-20 03:47:34,0,100,1195,1,2023-10-20 03:47:35,R_BQy2A5YycgguQaR,anonymous,EN,1,1,31,9,4,4,4,5,1,4,5,1,5,5,1,25,1,5,3
2023-10-20 05:01:30,2023-10-20 05:44:11,0,100,2560,1,2023-10-20 05:44:12,R_6xMJ5y2OdlRMrrr,anonymous,EN,0.8999999761581421,1,32,9,4,4,4,5,1,2,4,3,5,5,1,22,1,5,2
2023-10-20 05:44:36,2023-10-20 06:49:51,0,100,3914,1,2023-10-20 06:49:52,R_27BG5Pg3eR5LFTP,anonymous,EN,0.8999999761581421,1,33,9,4,4,5,4,2,5,5,2,4,5,2,20,3,4,2
2023-10-20 06:50:17,2023-10-20 07:12:08,0,100,1310,1,2023-10-20 07:12:08,R_3LZjKqX0tpLY1eb,anonymous,EN,0.8999999761581421,1,34,9,4,4,3,5,4,5,5,2,2,2,4,25,2,5,3
2023-10-20 10:49:38,2023-10-20 11:18:13,0,100,1714,1,2023-10-20 11:18:14,R_111TL2hs1RUuTFZ,anonymous,EN,1,1,1,9,4,4,4,5,3,3,5,4,5,4,1,23,1,5,4
2023-10-20 12:03:48,2023-10-20 12:21:35,0,100,1066,1,2023-10-20 12:21:36,R_3ehlLtRIzGASwkG,anonymous,EN,1,1,2,9,4,4,4,5,2,4,4,2,4,4,2,23,1,5,5
2023-10-21 01:18:02,2023-10-21 01:47:37,0,100,1775,1,2023-10-21 01:47:38,R_1cY8cxzAU8fBdo0,anonymous,EN,0.8999999761581421,1,9,9,4,4,3,4,2,4,5,2,4,3,2,21,3,5,3
2023-10-21 02:29:24,2023-10-21 02:53:32,0,100,1447,1,2023-10-21 02:53:32,R_A1HCPbxTkVZRVS1,anonymous,EN,0.8999999761581421,1,10,9,4,4,2,2,4,4,4,2,4,4,1,56,1,3,3
2023-10-21 03:33:49,2023-10-21 03:59:24,0,100,1535,1,2023-10-21 03:59:24,R_8w827Jo4nEpWrvj,anonymous,EN,1,1,11,9,4,4,3,2,3,4,4,3,5,5,5,25,1,5,5
2023-10-21 04:36:33,2023-10-21 04:57:56,0,100,1282,1,2023-10-21 04:57:57,R_2RXis3Yg4cknkhk,anonymous,EN,1,1,12,9,4,4,4,5,3,4,5,4,4,5,2,21,2,4,2
2023-10-21 07:20:54,2023-10-21 07:39:39,0,100,1125,1,2023-10-21 07:39:40,R_sbYM1YprEqhpZVT,anonymous,EN,1,1,15,9,4,4,2,5,4,4,5,3,5,5,2,21,1,5,3
2023-10-21 08:26:13,2023-10-21 08:47:35,0,100,1282,1,2023-10-21 08:47:36,R_CazipNZ0NUTL15f,anonymous,EN,,1,35,9,4,4,1,4,5,2,4,4,4,4,4,26,2,4,5
2023-10-21 08:51:05,2023-10-21 09:24:33,0,100,2007,1,2023-10-21 09:24:33,R_2Xj8FF02vpPznlu,anonymous,EN,1,1,36,9,4,4,5,5,2,3,1,5,3,2,3,59,4,3,3
2023-10-21 09:24:41,2023-10-21 09:42:12,0,100,1051,1,2023-10-21 09:42:13,R_1pPtbDtxXcrWbgV,anonymous,EN,0.8999999761581421,1,36,9,4,4,4,4,1,4,4,1,4,4,1,59,1,5,3
2023-10-21 10:43:22,2023-10-21 11:09:08,0,100,1545,1,2023-10-21 11:09:09,R_2vYfir7H8YjRYaG,anonymous,EN,1,1,4,9,4,,4,5,1,2,1,4,4,4,1,55,2,2,3
2023-10-21 11:21:21,2023-10-21 11:39:47,0,100,1106,1,2023-10-21 11:39:48,R_Oex41VjZVJnGe09,anonymous,EN,0.8999999761581421,1,13,9,4,4,5,4,1,5,5,1,5,5,1,21,2,5,4
2023-10-21 11:50:57,2023-10-21 12:08:16,0,100,1039,1,2023-10-21 12:08:17,R_3RdRbMbTbsB1Hn2,anonymous,EN,1,1,3,9,4,4,3,4,2,5,4,1,3,4,2,56,1,4,3
2023-10-22 08:39:49,2023-10-22 09:02:22,0,100,1353,1,2023-10-22 09:02:23,R_2AWtTwqVDajz0Gk,anonymous,EN,,1,14,9,4,4,4,5,4,5,5,2,5,4,3,27,1,5,4
2023-10-22 07:38:38,2023-10-22 09:22:53,0,100,6255,1,2023-10-22 09:22:54,R_1cUEbUD8oYYBFgE,anonymous,EN,1,1,5,9,4,4,5,5,2,5,5,2,5,5,2,26,1,5,5
2023-10-19 12:25:26,2023-10-23 02:26:03,0,100,309636,1,2023-10-23 02:26:04,R_d7n0pLquGnAPCaR,anonymous,EN,1,1,5100992,9,4,4,,,,,,,,,,,,,
2023-10-23 11:56:43,2023-10-23 12:11:44,0,100,900,1,2023-10-23 12:11:45,R_1EWIUgBI9vTewVC,anonymous,EN,1,1,18,9,4,4,5,4,1,5,5,1,5,5,1,24,1,5,4
2023-10-23 13:03:58,2023-10-23 13:16:36,0,100,758,1,2023-10-23 13:16:37,R_2dZteJID4u8Tqtw,anonymous,EN,1,1,6,9,4,4,4,4,1,5,5,2,4,4,1,23,1,5,4
2023-10-23 14:01:58,2023-10-23 14:17:26,0,100,927,1,2023-10-23 14:17:26,R_2V4vWN87TmcN4oz,anonymous,EN,1,1,29,9,4,4,4,5,2,4,4,1,5,4,2,23,3,5,4
2023-10-23 14:20:50,2023-10-23 14:36:45,0,100,954,1,2023-10-23 14:36:46,R_r15KHeohFeDzlV7,anonymous,EN,1,1,38,9,4,4,4,4,2,3,3,3,3,3,3,22,1,1,4
2023-10-23 11:02:52,2023-10-23 15:47:13,0,100,17060,1,2023-10-23 15:47:13,R_1CxxBUO5DJgqvLT,anonymous,EN,1,1,21,9,4,4,3,4,2,4,4,2,4,4,3,28,1,5,1
2023-10-23 15:28:20,2023-10-23 15:49:34,0,100,1274,1,2023-10-23 15:49:35,R_3ER87BXT2N8ZDUM,anonymous,EN,1,1,41,9,4,4,3,2,2,4,4,2,3,4,3,26,1,4,2
2023-10-23 15:47:18,2023-10-23 15:55:52,0,100,514,1,2023-10-23 15:55:52,R_2eOV21zfQRtzt2P,anonymous,EN,0.8999999761581421,1,22,9,4,4,3,2,3,2,3,3,2,3,3,25,2,5,1
2023-10-23 15:50:21,2023-10-23 15:57:54,0,100,452,1,2023-10-23 15:57:55,R_d5MdM2DLhMMmSHL,anonymous,EN,1,1,42,9,4,4,4,4,3,5,4,2,4,4,3,24,2,5,2
2023-10-23 15:55:54,2023-10-23 16:02:09,0,100,374,1,2023-10-23 16:02:09,R_PwC3k3vz4qTv237,anonymous,EN,0.8999999761581421,1,23,9,4,4,1,1,2,1,1,2,5,5,2,19,1,5,1
2023-10-23 16:02:11,2023-10-23 16:06:19,0,100,247,1,2023-10-23 16:06:19,R_2bZRN8NS3i8NyhW,anonymous,EN,0.8999999761581421,1,24,9,4,4,5,5,1,5,5,1,3,4,2,23,2,5,1
2023-10-23 15:58:10,2023-10-23 16:11:59,0,100,829,1,2023-10-23 16:12:00,R_3eh4C83LB50m92D,anonymous,EN,1,1,39,9,4,4,2,5,5,5,5,3,4,5,3,22,1,3,3
2023-10-23 16:06:21,2023-10-23 16:16:38,0,100,616,1,2023-10-23 16:16:39,R_2Yyol32CsC1NPoK,anonymous,EN,0.8999999761581421,1,25,9,4,4,2,3,2,2,3,2,4,4,3,25,1,5,1
2023-10-23 16:12:51,2023-10-23 16:18:45,0,100,354,1,2023-10-23 16:18:46,R_BX5MMVSZMNxzcoF,anonymous,EN,0.8999999761581421,1,40,9,4,4,5,4,2,5,3,3,4,3,2,20,2,4,2
2023-10-23 16:16:57,2023-10-23 16:23:13,0,100,375,1,2023-10-23 16:23:14,R_2yruxfZNyQCxikm,anonymous,EN,0.8999999761581421,1,26,9,4,4,2,3,2,4,3,3,2,3,2,21,2,5,1
2023-10-23 16:25:38,2023-10-23 16:30:15,0,100,277,1,2023-10-23 16:30:16,R_3mmiL1yxCe5yCIs,anonymous,EN,0.8999999761581421,1,27,9,4,4,1,3,2,3,3,3,5,4,3,25,2,5,1
2023-10-23 16:22:19,2023-10-23 16:31:11,0,100,532,1,2023-10-23 16:31:12,R_1FEC2pPjWpOhn6x,anonymous,EN,1,1,16,9,4,4,3,2,3,3,2,2,3,2,2,24,1,5,3
2023-10-23 16:30:19,2023-10-23 16:34:55,0,100,276,1,2023-10-23 16:34:56,R_1etJRsGC4QqBkNO,anonymous,EN,0.8999999761581421,1,28,9,4,4,1,1,1,1,2,1,3,3,3,23,2,5,1
2023-10-23 16:32:23,2023-10-23 16:41:28,0,100,545,1,2023-10-23 16:41:29,R_eW1syR4OmbQjH4l,anonymous,EN,1,1,20,9,4,4,4,5,3,3,4,4,4,3,2,23,1,5,2
2023-10-24 03:05:25,2023-10-24 03:26:46,0,100,1281,1,2023-10-24 03:26:47,R_27aud2TH4ODz8OO,anonymous,EN,1,1,19,9,4,4,5,5,2,5,4,2,4,4,4,22,1,5,4
